lat,lng
15.583976,73.807333
15.590265,73.81039
15.56331,73.774449
15.573246,73.863873
15.579517,73.813416
15.600521,73.80851
15.591084,73.80949
15.601431,73.807129
15.601244,73.825165
15.601255,73.825164
15.609428,73.824659
15.575523,73.806957
15.601543,73.80715
15.591024,73.806281
15.601389,73.825121
15.602448,73.805444
15.591802,73.856243
15.62004,73.797897
15.576951,73.804265
15.594165,73.850654
15.590213,73.810294
15.590107,73.810213
15.614895,73.822431
15.567565,73.807526
15.563937,73.809489
15.591195,73.811077
15.566677,73.806834
15.593432,73.824842
15.574789,73.807815
15.561725,73.810991
15.613345,73.813877
15.572086,73.791269
15.573325,73.792774
15.601478,73.824988
15.616481,73.819488
15.593158,73.805278
15.596026,73.811281
15.598837,73.825158
15.586134,73.80568
15.583919,73.800729
15.583331,73.778021
15.592066,73.855247
15.565555,73.790773
15.574458,73.794131
15.553777,73.806431
15.593508,73.814686
15.561457,73.81157
15.583705,73.817096
15.590771,73.807172
15.575179,73.80638
15.61109,73.812877
15.591954,73.855848
15.56635,73.784738
15.585118,73.807751
15.582013,73.783445
15.589699,73.809671
15.591504,73.808727
15.597966,73.807697
15.611152,73.827116
15.572451,73.80641
15.594254,73.834906
15.591241,73.808684
15.58205,73.801235
15.61026,73.823484
15.574706,73.806893
15.59152,73.808706
15.596744,73.815288
15.59183,73.855966
15.592058,73.853139
15.600046,73.874066
15.602283,73.815867
15.577428,73.778819
15.60352,73.812603
15.570309,73.789115
15.591789,73.807139
15.574802,73.793889
15.596669,73.799215
15.584087,73.799991
15.596667,73.820647
15.591234,73.808773
15.587968,73.820613
15.576159,73.79615
15.602629,73.81627
15.58625,73.845559
15.588027,73.82032
15.592787,73.808238
15.565539,73.808236
15.62312,73.776598
15.601565,73.825175
15.589194,73.811985
15.597903,73.825291
15.599175,73.825199
15.590261,73.812326
15.592068,73.806882
15.612094,73.828275
15.601658,73.825089
15.593234,73.81386
15.595101,73.818966
15.591923,73.857726
15.591845,73.85599
15.614864,73.822793
15.587604,73.820282
15.591417,73.810642
15.56773,73.862114
15.566469,73.784451
15.59444,73.874466
15.567509,73.807552
15.587759,73.808684
15.603327,73.82481
15.59083,73.810361
15.589283,73.817949
15.594145,73.825035
15.612379,73.828812
15.614492,73.822739
15.577982,73.781948
15.601338,73.825293
15.606628,73.824319
15.602557,73.816237
15.602082,73.806303
15.577486,73.810444
15.590875,73.810256
15.591541,73.881469
15.593918,73.841568
15.61691,73.813601
15.589777,73.81078
15.596106,73.746975
15.603112,73.737005
15.593854,73.756668
15.590937,73.751792
15.608605,73.750101
15.597106,73.785483
15.597115,73.785409
15.571405,73.765114
15.610645,73.752294
15.585205,73.741046
15.58253,73.758397
15.594725,73.753239
15.617093,73.770348
15.614366,73.769942
15.593546,73.735321
15.55655,73.776777
15.561705,73.764685
15.625997,73.764991
15.58371,73.741503
15.585244,73.75419
15.576235,73.758535
15.599121,73.794311
15.558904,73.774862
15.594304,73.755632
15.581865,73.747511
15.635742,73.771224
15.555674,73.774502
15.589719,73.764533
15.59428,73.756011
15.616103,73.7907
15.595391,73.795168
15.590131,73.766375
15.590648,73.769676
15.58114,73.737979
15.592807,73.759823
15.601099,73.761472
15.616168,73.790676
15.616181,73.790119
15.596553,73.779416
15.625165,73.766949
15.615969,73.784673
15.603828,73.742208
15.612766,73.794136
15.585403,73.754427
15.568239,73.752877
15.614688,73.770034
15.557236,73.776515
15.624752,73.771638
15.572603,73.744913
15.58192,73.758452
15.615923,73.785363
15.585666,73.758779
15.559809,73.763988
15.629568,73.760272
15.602442,73.743081
15.566567,73.764907
15.595224,73.79726
15.568243,73.752925
15.597722,73.781497
15.598709,73.746726
15.568402,73.764932
15.599575,73.738281
15.597181,73.78434
